stimulus_id,seed,exemplar,shape_level,shape_family,appendage_level,appendage_family,appendage_count,texture_level,texture_family,colour_level,colour_name,colour_hue_deg,colour_chroma,colour_luminance_Lstar,srgb_r,srgb_g,srgb_b,srgb_relative_luminance,body_area_vector,body_perimeter_vector,body_area_pixels,object_area_pixels,body_bbox_width,body_bbox_height,object_bbox_width,object_bbox_height,svg_path,png_path,body_mask_path,object_mask_path
microbe_00016,1319986108,3,0,round,0,none,0,0,smooth,3,green,145,48.0,60.0,81,161,94,0.280472207918802,62280.94338406995,885.6671683718557,62654,62654,291.6534684052282,271.7906493619039,291.6534684052282,271.7906493619039,svg/microbe_00016.svg,png/microbe_00016.png,masks/body/microbe_00016.png,masks/object/microbe_00016.png
microbe_00017,1650960093,0,0,round,0,none,0,0,smooth,6,violet,275,48.0,60.0,80,147,229,0.2823005310965488,62280.943384066224,885.3541210866883,62686,62686,290.2635730987829,272.87286628789457,290.2635730987829,272.87286628789457,svg/microbe_00017.svg,png/microbe_00017.png,masks/body/microbe_00017.png,masks/object/microbe_00017.png
microbe_00018,1616242681,1,0,round,0,none,0,0,smooth,6,violet,275,48.0,60.0,80,147,229,0.2823005310965488,62280.9433840625,886.8401179762934,62656,62656,297.8345046357248,265.8764534164194,297.8345046357248,265.8764534164194,svg/microbe_00018.svg,png/microbe_00018.png,masks/body/microbe_00018.png,masks/object/microbe_00018.png
microbe_00019,511678572,2,0,round,0,none,0,0,smooth,6,violet,275,48.0,60.0,80,147,229,0.2823005310965488,62280.94338405877,885.5459042201637,62651,62651,291.69806400987363,271.46466190095146,291.69806400987363,271.46466190095146,svg/microbe_00019.svg,png/microbe_00019.png,masks/body/microbe_00019.png,masks/object/microbe_00019.png
microbe_00020,1773958349,3,0,round,0,none,0,0,smooth,6,violet,275,48.0,60.0,80,147,229,0.2823005310965488,62280.943384066224,885.0825894397794,62674,62674,288.38657572642234,274.5544827449652,288.38657572642234,274.5544827449652,svg/microbe_00020.svg,png/microbe_00020.png,masks/body/microbe_00020.png,masks/object/microbe_00020.png
microbe_00021,1561857049,0,0,round,0,none,0,0,smooth,7,magenta,320,48.0,60.0,183,122,199,0.28109868110024566,62280.943384066224,885.3541210866883,62686,62686,290.2635730987829,272.87286628789457,290.2635730987829,272.87286628789457,svg/microbe_00021.svg,png/microbe_00021.png,masks/body/microbe_00021.png,masks/object/microbe_00021.png
microbe_00022,391369017,1,0,round,0,none,0,0,smooth,7,magenta,320,48.0,60.0,183,122,199,0.28109868110024566,62280.943384066224,885.0790101798057,62656,62656,287.8794204977995,275.27531436476795,287.8794204977995,275.27531436476795,svg/microbe_00022.svg,png/microbe_00022.png,masks/body/microbe_00022.png,masks/object/microbe_00022.png
microbe_00023,31460390,2,0,round,0,none,0,0,smooth,7,magenta,320,48.0,60.0,183,122,199,0.28109868110024566,62280.94338405877,885.6120292484222,62650,62650,291.938821225314,271.36878860156344,291.938821225314,271.36878860156344,svg/microbe_00023.svg,png/microbe_00023.png,masks/body/microbe_00023.png,masks/object/microbe_00023.png
microbe_00024,1217140639,3,0,round,0,none,0,0,smooth,7,magenta,320,48.0,60.0,183,122,199,0.28109868110024566,62280.943384066224,885.1176629953281,62678,62678,286.3550232366992,277.2031511071523,286.3550232366992,277.2031511071523,svg/microbe_00024.svg,png/microbe_00024.png,masks/body/microbe_00024.png,masks/object/microbe_00024.png
microbe_00025,1775631084,0,0,round,0,none,0,1,spots,0,coral,15,48.0,60.0,224,109,125,0.2826524036233139,62280.943384066224,885.3541210866883,62686,62686,290.2635730987829,272.87286628789457,290.2635730987829,272.87286628789457,svg/microbe_00025.svg,png/microbe_00025.png,masks/body/microbe_00025.png,masks/object/microbe_00025.png
